MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000190,Camden 025,E09000007,Camden,112,7,6.30%,3.10%,12.30%,,115,25,21.70%,15.20%,30.10%,,,,,,,,,
E02000191,Camden 026,E09000007,Camden,58,11,19.00%,10.90%,30.90%,,46,s,s,s,s,,,,,,,,,
E02000192,Camden 027,E09000007,Camden,192,13,6.80%,4.00%,11.20%,,178,42,23.60%,18.00%,30.30%,,,,,,,,,
E02000193,Camden 028,E09000007,Camden,72,10,13.90%,7.70%,23.70%,,66,19,28.80%,19.30%,40.60%,,,,,,,,,
E02000194,Croydon 001,E09000008,Croydon,320,36,11.30%,8.20%,15.20%,,187,42,22.50%,17.10%,29.00%,,,,,,,,,
E02000195,Croydon 002,E09000008,Croydon,273,24,8.80%,6.00%,12.70%,,245,48,19.60%,15.10%,25.00%,,,,,,,,,
E02000196,Croydon 003,E09000008,Croydon,200,19,9.50%,6.20%,14.40%,,217,61,28.10%,22.60%,34.40%,,,,,,,,,
E02000197,Croydon 004,E09000008,Croydon,342,46,13.50%,10.20%,17.50%,,288,62,21.50%,17.20%,26.60%,,,,,,,,,
E02000198,Croydon 005,E09000008,Croydon,405,52,12.80%,9.90%,16.50%,,298,88,29.50%,24.60%,34.90%,,,,,,,,,
E02000199,Croydon 006,E09000008,Croydon,278,38,13.70%,10.10%,18.20%,,245,68,27.80%,22.50%,33.70%,,,,,,,,,
E02000200,Croydon 007,E09000008,Croydon,393,44,11.20%,8.40%,14.70%,,271,68,25.10%,20.30%,30.60%,,,,,,,,,
E02000201,Croydon 008,E09000008,Croydon,451,53,11.80%,9.10%,15.10%,,331,75,22.70%,18.50%,27.50%,,,,,,,,,
E02000202,Croydon 009,E09000008,Croydon,342,52,15.20%,11.80%,19.40%,,308,73,23.70%,19.30%,28.80%,,,,,,,,,
E02000203,Croydon 010,E09000008,Croydon,303,37,12.20%,9.00%,16.40%,,222,62,27.90%,22.40%,34.20%,,,,,,,,,
E02000204,Croydon 011,E09000008,Croydon,359,47,13.10%,10.00%,17.00%,,312,85,27.20%,22.60%,32.40%,,,,,,,,,
E02000206,Croydon 013,E09000008,Croydon,447,57,12.80%,10.00%,16.20%,,325,85,26.20%,21.70%,31.20%,,,,,,,,,
E02000207,Croydon 014,E09000008,Croydon,272,39,14.30%,10.70%,19.00%,,274,74,27.00%,22.10%,32.60%,,,,,,,,,
E02000208,Croydon 015,E09000008,Croydon,498,70,14.10%,11.30%,17.40%,,336,79,23.50%,19.30%,28.30%,,,,,,,,,
E02000209,Croydon 016,E09000008,Croydon,387,44,11.40%,8.60%,14.90%,,359,81,22.60%,18.50%,27.20%,,,,,,,,,
E02000210,Croydon 017,E09000008,Croydon,336,27,8.00%,5.60%,11.40%,,260,59,22.70%,18.00%,28.20%,,,,,,,,,
E02000211,Croydon 018,E09000008,Croydon,214,16,7.50%,4.70%,11.80%,,194,29,14.90%,10.60%,20.60%,,,,,,,,,
E02000212,Croydon 019,E09000008,Croydon,416,43,10.30%,7.80%,13.60%,,327,91,27.80%,23.30%,32.90%,,,,,,,,,
E02000213,Croydon 020,E09000008,Croydon,420,63,15.00%,11.90%,18.70%,,271,72,26.60%,21.70%,32.10%,,,,,,,,,
E02000214,Croydon 021,E09000008,Croydon,174,15,8.60%,5.30%,13.70%,,171,30,17.50%,12.60%,23.90%,,,,,,,,,
E02000215,Croydon 022,E09000008,Croydon,323,40,12.40%,9.20%,16.40%,,163,35,21.50%,15.90%,28.40%,,,,,,,,,
E02000216,Croydon 023,E09000008,Croydon,217,21,9.70%,6.40%,14.30%,,118,25,21.20%,14.80%,29.40%,,,,,,,,,
E02000217,Croydon 024,E09000008,Croydon,397,46,11.60%,8.80%,15.10%,,267,59,22.10%,17.50%,27.50%,,,,,,,,,
E02000218,Croydon 025,E09000008,Croydon,297,31,10.40%,7.50%,14.40%,,255,60,23.50%,18.70%,29.10%,,,,,,,,,
E02000219,Croydon 026,E09000008,Croydon,147,13,8.80%,5.20%,14.50%,,158,34,21.50%,15.80%,28.60%,,,,,,,,,
E02000220,Croydon 027,E09000008,Croydon,315,34,10.80%,7.80%,14.70%,,150,33,22.00%,16.10%,29.30%,,,,,,,,,
E02000221,Croydon 028,E09000008,Croydon,374,39,10.40%,7.70%,13.90%,,335,69,20.60%,16.60%,25.20%,,,,,,,,,
E02000222,Croydon 029,E09000008,Croydon,258,25,9.70%,6.60%,13.90%,,147,24,16.30%,11.20%,23.10%,,,,,,,,,
E02000223,Croydon 030,E09000008,Croydon,583,81,13.90%,11.30%,16.90%,,498,118,23.70%,20.20%,27.60%,,,,,,,,,
E02000224,Croydon 031,E09000008,Croydon,282,21,7.40%,4.90%,11.10%,,179,38,21.20%,15.90%,27.80%,,,,,,,,,
E02000225,Croydon 032,E09000008,Croydon,217,23,10.60%,7.20%,15.40%,,232,63,27.20%,21.80%,33.20%,,,,,,,,,
E02000226,Croydon 033,E09000008,Croydon,139,13,9.40%,5.50%,15.30%,,151,27,17.90%,12.60%,24.80%,,,,,,,,,
E02000227,Croydon 034,E09000008,Croydon,377,40,10.60%,7.90%,14.10%,,331,51,15.40%,11.90%,19.70%,,,,,,,,,
E02000228,Croydon 035,E09000008,Croydon,207,12,5.80%,3.30%,9.90%,,180,26,14.40%,10.10%,20.30%,,,,,,,,,
E02000229,Croydon 036,E09000008,Croydon,304,37,12.20%,9.00%,16.30%,,246,72,29.30%,23.90%,35.20%,,,,,,,,,
E02000230,Croydon 037,E09000008,Croydon,231,17,7.40%,4.60%,11.50%,,235,34,14.50%,10.50%,19.50%,,,,,,,,,
E02000231,Croydon 038,E09000008,Croydon,139,15,10.80%,6.60%,17.00%,,159,26,16.40%,11.40%,22.90%,,,,,,,,,
E02000232,Croydon 039,E09000008,Croydon,158,15,9.50%,5.80%,15.10%,,198,25,12.60%,8.70%,18.00%,,,,,,,,,
E02000233,Croydon 040,E09000008,Croydon,244,14,5.70%,3.40%,9.40%,,189,18,9.50%,6.10%,14.60%,,,,,,,,,
E02000234,Croydon 041,E09000008,Croydon,271,19,7.00%,4.50%,10.70%,,232,51,22.00%,17.10%,27.70%,,,,,,,,,
E02000235,Croydon 042,E09000008,Croydon,190,13,6.80%,4.00%,11.40%,,191,30,15.70%,11.20%,21.50%,,,,,,,,,
E02000236,Croydon 043,E09000008,Croydon,248,21,8.50%,5.60%,12.60%,,258,53,20.50%,16.10%,25.90%,,,,,,,,,
E02000237,Croydon 044,E09000008,Croydon,230,21,9.10%,6.00%,13.60%,,214,35,16.40%,12.00%,21.90%,,,,,,,,,
E02006788,Croydon 045,E09000008,Croydon,322,41,12.70%,9.50%,16.80%,,312,73,23.40%,19.00%,28.40%,,,,,,,,,
E02000238,Ealing 001,E09000009,Ealing,434,39,9.00%,6.60%,12.00%,,352,87,24.70%,20.50%,29.50%,,,,,,,,,
E02000239,Ealing 002,E09000009,Ealing,315,29,9.20%,6.50%,12.90%,,290,76,26.20%,21.50%,31.60%,,,,,,,,,
E02000240,Ealing 003,E09000009,Ealing,528,61,11.60%,9.10%,14.60%,,429,107,24.90%,21.10%,29.20%,,,,,,,,,
E02000241,Ealing 004,E09000009,Ealing,255,31,12.20%,8.70%,16.70%,,190,51,26.80%,21.00%,33.60%,,,,,,,,,
E02000242,Ealing 005,E09000009,Ealing,284,40,14.10%,10.50%,18.60%,,233,62,26.60%,21.30%,32.60%,,,,,,,,,
E02000243,Ealing 006,E09000009,Ealing,356,30,8.40%,6.00%,11.80%,,280,59,21.10%,16.70%,26.20%,,,,,,,,,
E02000244,Ealing 007,E09000009,Ealing,289,29,10.00%,7.10%,14.00%,,220,50,22.70%,17.70%,28.70%,,,,,,,,,
E02000245,Ealing 008,E09000009,Ealing,431,58,13.50%,10.60%,17.00%,,313,73,23.30%,19.00%,28.30%,,,,,,,,,
E02000246,Ealing 009,E09000009,Ealing,414,57,13.80%,10.80%,17.40%,,361,74,20.50%,16.70%,25.00%,,,,,,,,,
E02000247,Ealing 010,E09000009,Ealing,550,80,14.50%,11.80%,17.70%,,396,100,25.30%,21.20%,29.80%,,,,,,,,,
E02000248,Ealing 011,E09000009,Ealing,201,16,8.00%,5.00%,12.50%,,157,36,22.90%,17.00%,30.10%,,,,,,,,,
E02000249,Ealing 012,E09000009,Ealing,239,27,11.30%,7.90%,15.90%,,161,35,21.70%,16.10%,28.70%,,,,,,,,,
E02000250,Ealing 013,E09000009,Ealing,242,16,6.60%,4.10%,10.50%,,165,18,10.90%,7.00%,16.60%,,,,,,,,,
E02000251,Ealing 014,E09000009,Ealing,314,51,16.20%,12.60%,20.70%,,285,73,25.60%,20.90%,31.00%,,,,,,,,,
E02000252,Ealing 015,E09000009,Ealing,307,45,14.70%,11.10%,19.10%,,230,54,23.50%,18.50%,29.40%,,,,,,,,,
E02000253,Ealing 016,E09000009,Ealing,426,53,12.40%,9.60%,15.90%,,392,85,21.70%,17.90%,26.00%,,,,,,,,,
E02000254,Ealing 017,E09000009,Ealing,369,44,11.90%,9.00%,15.60%,,340,79,23.20%,19.10%,28.00%,,,,,,,,,
E02000255,Ealing 018,E09000009,Ealing,348,43,12.40%,9.30%,16.20%,,278,50,18.00%,13.90%,22.90%,,,,,,,,,
E02000256,Ealing 019,E09000009,Ealing,146,s,s,s,s,,143,23,16.10%,11.00%,23.00%,,,,,,,,,
E02000257,Ealing 020,E09000009,Ealing,250,15,6.00%,3.70%,9.70%,,132,21,15.90%,10.60%,23.10%,,,,,,,,,
E02000258,Ealing 021,E09000009,Ealing,200,24,12.00%,8.20%,17.20%,,159,27,17.00%,11.90%,23.60%,,,,,,,,,
E02000259,Ealing 022,E09000009,Ealing,239,20,8.40%,5.50%,12.60%,,201,36,17.90%,13.20%,23.80%,,,,,,,,,
E02000260,Ealing 023,E09000009,Ealing,359,41,11.40%,8.50%,15.10%,,283,61,21.60%,17.20%,26.70%,,,,,,,,,
E02000261,Ealing 024,E09000009,Ealing,348,31,8.90%,6.30%,12.40%,,298,82,27.50%,22.80%,32.80%,,,,,,,,,
E02000262,Ealing 025,E09000009,Ealing,292,29,9.90%,7.00%,13.90%,,224,46,20.50%,15.80%,26.30%,,,,,,,,,
E02000263,Ealing 026,E09000009,Ealing,535,79,14.80%,12.00%,18.00%,,480,115,24.00%,20.40%,28.00%,,,,,,,,,
E02000264,Ealing 027,E09000009,Ealing,147,18,12.20%,7.90%,18.50%,,117,30,25.60%,18.60%,34.20%,,,,,,,,,
E02000265,Ealing 028,E09000009,Ealing,386,44,11.40%,8.60%,15.00%,,291,78,26.80%,22.00%,32.20%,,,,,,,,,
E02000266,Ealing 029,E09000009,Ealing,568,82,14.40%,11.80%,17.60%,,597,138,23.10%,19.90%,26.70%,,,,,,,,,
E02000267,Ealing 030,E09000009,Ealing,369,33,8.90%,6.40%,12.30%,,197,46,23.40%,18.00%,29.70%,,,,,,,,,
E02000268,Ealing 031,E09000009,Ealing,210,19,9.00%,5.90%,13.70%,,167,31,18.60%,13.40%,25.10%,,,,,,,,,
E02000269,Ealing 032,E09000009,Ealing,301,17,5.60%,3.60%,8.90%,,177,19,10.70%,7.00%,16.20%,,,,,,,,,
E02000270,Ealing 033,E09000009,Ealing,369,44,11.90%,9.00%,15.60%,,289,79,27.30%,22.50%,32.70%,,,,,,,,,
E02000271,Ealing 034,E09000009,Ealing,115,s,s,s,s,,65,9,13.80%,7.50%,24.30%,,,,,,,,,
E02000272,Ealing 035,E09000009,Ealing,267,24,9.00%,6.10%,13.00%,,204,24,11.80%,8.00%,16.90%,,,,,,,,,
E02000274,Ealing 037,E09000009,Ealing,648,97,15.00%,12.40%,17.90%,,525,128,24.40%,20.90%,28.20%,,,,,,,,,
E02000275,Ealing 038,E09000009,Ealing,272,29,10.70%,7.50%,14.90%,,219,50,22.80%,17.80%,28.80%,,,,,,,,,
E02000276,Ealing 039,E09000009,Ealing,291,12,4.10%,2.40%,7.10%,,134,22,16.40%,11.10%,23.60%,,,,,,,,,
E02006791,Ealing 040,E09000009,Ealing,155,17,11.00%,7.00%,16.90%,,113,23,20.40%,14.00%,28.70%,,,,,,,,,
E02000277,Enfield 001,E09000010,Enfield,245,44,18.00%,13.70%,23.20%,,246,65,26.40%,21.30%,32.30%,,,,,,,,,
E02000278,Enfield 002,E09000010,Enfield,290,43,14.80%,11.20%,19.40%,,281,74,26.30%,21.50%,31.80%,,,,,,,,,
E02000279,Enfield 003,E09000010,Enfield,589,88,14.90%,12.30%,18.00%,,510,135,26.50%,22.80%,30.50%,,,,,,,,,
E02000280,Enfield 004,E09000010,Enfield,314,31,9.90%,7.00%,13.70%,,268,61,22.80%,18.10%,28.10%,,,,,,,,,
E02000281,Enfield 005,E09000010,Enfield,396,56,14.10%,11.10%,17.90%,,281,70,24.90%,20.20%,30.30%,,,,,,,,,
E02000282,Enfield 006,E09000010,Enfield,404,52,12.90%,10.00%,16.50%,,381,107,28.10%,23.80%,32.80%,,,,,,,,,
E02000283,Enfield 007,E09000010,Enfield,366,63,17.20%,13.70%,21.40%,,369,101,27.40%,23.10%,32.10%,,,,,,,,,
E02000284,Enfield 008,E09000010,Enfield,323,22,6.80%,4.50%,10.10%,,222,49,22.10%,17.10%,28.00%,,,,,,,,,
E02000285,Enfield 009,E09000010,Enfield,203,30,14.80%,10.60%,20.30%,,199,40,20.10%,15.10%,26.20%,,,,,,,,,
E02000286,Enfield 010,E09000010,Enfield,198,17,8.60%,5.40%,13.30%,,163,24,14.70%,10.10%,21.00%,,,,,,,,,
E02000287,Enfield 011,E09000010,Enfield,147,13,8.80%,5.20%,14.50%,,115,26,22.60%,15.90%,31.10%,,,,,,,,,
E02000288,Enfield 012,E09000010,Enfield,585,85,14.50%,11.90%,17.60%,,443,107,24.20%,20.40%,28.40%,,,,,,,,,
E02000289,Enfield 013,E09000010,Enfield,195,18,9.20%,5.90%,14.10%,,209,43,20.60%,15.60%,26.60%,,,,,,,,,
E02000290,Enfield 014,E09000010,Enfield,377,55,14.60%,11.40%,18.50%,,279,87,31.20%,26.00%,36.80%,,,,,,,,,
E02000291,Enfield 015,E09000010,Enfield,362,51,14.10%,10.90%,18.10%,,231,59,25.50%,20.30%,31.50%,,,,,,,,,
E02000292,Enfield 016,E09000010,Enfield,288,34,11.80%,8.60%,16.00%,,300,71,23.70%,19.20%,28.80%,,,,,,,,,
E02000293,Enfield 017,E09000010,Enfield,171,7,4.10%,2.00%,8.20%,,159,22,13.80%,9.30%,20.10%,,,,,,,,,
E02000294,Enfield 018,E09000010,Enfield,361,55,15.20%,11.90%,19.30%,,377,95,25.20%,21.10%,29.80%,,,,,,,,,
E02000295,Enfield 019,E09000010,Enfield,327,32,9.80%,7.00%,13.50%,,235,44,18.70%,14.30%,24.20%,,,,,,,,,
E02000296,Enfield 020,E09000010,Enfield,335,34,10.10%,7.40%,13.80%,,311,57,18.30%,14.40%,23.00%,,,,,,,,,
E02000297,Enfield 021,E09000010,Enfield,258,32,12.40%,8.90%,17.00%,,224,39,17.40%,13.00%,22.90%,,,,,,,,,
E02000298,Enfield 022,E09000010,Enfield,233,10,4.30%,2.30%,7.70%,,164,24,14.60%,10.00%,20.90%,,,,,,,,,
E02000299,Enfield 023,E09000010,Enfield,487,61,12.50%,9.90%,15.80%,,418,103,24.60%,20.80%,29.00%,,,,,,,,,
E02000300,Enfield 024,E09000010,Enfield,363,50,13.80%,10.60%,17.70%,,303,75,24.80%,20.20%,29.90%,,,,,,,,,
E02000301,Enfield 025,E09000010,Enfield,505,66,13.10%,10.40%,16.30%,,443,122,27.50%,23.60%,31.90%,,,,,,,,,
E02000302,Enfield 026,E09000010,Enfield,289,31,10.70%,7.70%,14.80%,,207,54,26.10%,20.60%,32.50%,,,,,,,,,
E02000303,Enfield 027,E09000010,Enfield,349,56,16.00%,12.60%,20.30%,,376,107,28.50%,24.10%,33.20%,,,,,,,,,
E02000304,Enfield 028,E09000010,Enfield,235,19,8.10%,5.20%,12.30%,,200,33,16.50%,12.00%,22.30%,,,,,,,,,
E02000305,Enfield 029,E09000010,Enfield,288,20,6.90%,4.50%,10.50%,,199,33,16.60%,12.10%,22.40%,,,,,,,,,
E02000306,Enfield 030,E09000010,Enfield,463,87,18.80%,15.50%,22.60%,,408,129,31.60%,27.30%,36.30%,,,,,,,,,
E02000307,Enfield 031,E09000010,Enfield,390,60,15.40%,12.10%,19.30%,,364,94,25.80%,21.60%,30.60%,,,,,,,,,
E02000308,Enfield 032,E09000010,Enfield,288,32,11.10%,8.00%,15.30%,,222,48,21.60%,16.70%,27.50%,,,,,,,,,
E02000309,Enfield 033,E09000010,Enfield,540,78,14.40%,11.70%,17.70%,,407,104,25.60%,21.60%,30.00%,,,,,,,,,
E02000311,Enfield 035,E09000010,Enfield,382,46,12.00%,9.20%,15.70%,,307,85,27.70%,23.00%,32.90%,,,,,,,,,
E02000312,Enfield 036,E09000010,Enfield,302,21,7.00%,4.60%,10.40%,,221,47,21.30%,16.40%,27.10%,,,,,,,,,
E02006793,Enfield 037,E09000010,Enfield,429,61,14.20%,11.20%,17.80%,,337,112,33.20%,28.40%,38.40%,,,,,,,,,
E02000313,Greenwich 001,E09000011,Greenwich,408,68,16.70%,13.40%,20.60%,,264,71,26.90%,21.90%,32.50%,,,,,,,,,
E02000314,Greenwich 002,E09000011,Greenwich,939,159,16.90%,14.70%,19.50%,,563,168,29.80%,26.20%,33.70%,,,,,,,,,
E02000315,Greenwich 003,E09000011,Greenwich,541,93,17.20%,14.20%,20.60%,,408,118,28.90%,24.70%,33.50%,,,,,,,,,
E02000316,Greenwich 004,E09000011,Greenwich,368,61,16.60%,13.10%,20.70%,,287,64,22.30%,17.90%,27.50%,,,,,,,,,
E02000317,Greenwich 005,E09000011,Greenwich,436,63,14.40%,11.50%,18.10%,,322,83,25.80%,21.30%,30.80%,,,,,,,,,
E02000318,Greenwich 006,E09000011,Greenwich,413,63,15.30%,12.10%,19.00%,,334,81,24.30%,20.00%,29.10%,,,,,,,,,
E02000319,Greenwich 007,E09000011,Greenwich,470,58,12.30%,9.70%,15.60%,,309,75,24.30%,19.80%,29.30%,,,,,,,,,
E02000320,Greenwich 008,E09000011,Greenwich,349,55,15.80%,12.30%,20.00%,,242,69,28.50%,23.20%,34.50%,,,,,,,,,
E02000321,Greenwich 009,E09000011,Greenwich,359,59,16.40%,13.00%,20.60%,,250,63,25.20%,20.20%,30.90%,,,,,,,,,
E02000323,Greenwich 011,E09000011,Greenwich,560,84,15.00%,12.30%,18.20%,,388,103,26.50%,22.40%,31.20%,,,,,,,,,
E02000324,Greenwich 012,E09000011,Greenwich,299,39,13.00%,9.70%,17.30%,,252,74,29.40%,24.10%,35.30%,,,,,,,,,
E02000326,Greenwich 014,E09000011,Greenwich,316,40,12.70%,9.40%,16.80%,,168,37,22.00%,16.40%,28.90%,,,,,,,,,
E02000327,Greenwich 015,E09000011,Greenwich,326,40,12.30%,9.10%,16.30%,,256,68,26.60%,21.50%,32.30%,,,,,,,,,
E02000328,Greenwich 016,E09000011,Greenwich,140,7,5.00%,2.40%,10.00%,,109,21,19.30%,13.00%,27.70%,,,,,,,,,
E02000329,Greenwich 017,E09000011,Greenwich,236,28,11.90%,8.30%,16.60%,,191,46,24.10%,18.60%,30.60%,,,,,,,,,
E02000331,Greenwich 019,E09000011,Greenwich,300,39,13.00%,9.70%,17.30%,,228,57,25.00%,19.80%,31.00%,,,,,,,,,
E02000332,Greenwich 020,E09000011,Greenwich,280,38,13.60%,10.00%,18.10%,,206,44,21.40%,16.30%,27.50%,,,,,,,,,
E02000333,Greenwich 021,E09000011,Greenwich,124,11,8.90%,5.00%,15.20%,,69,18,26.10%,17.20%,37.50%,,,,,,,,,
E02000334,Greenwich 022,E09000011,Greenwich,237,20,8.40%,5.50%,12.70%,,199,46,23.10%,17.80%,29.40%,,,,,,,,,
E02000335,Greenwich 023,E09000011,Greenwich,213,14,6.60%,4.00%,10.70%,,188,33,17.60%,12.80%,23.60%,,,,,,,,,
E02000337,Greenwich 025,E09000011,Greenwich,331,42,12.70%,9.50%,16.70%,,253,58,22.90%,18.20%,28.50%,,,,,,,,,
E02000339,Greenwich 027,E09000011,Greenwich,200,14,7.00%,4.20%,11.40%,,167,24,14.40%,9.90%,20.50%,,,,,,,,,
E02000340,Greenwich 028,E09000011,Greenwich,131,16,12.20%,7.70%,18.90%,,118,26,22.00%,15.50%,30.30%,,,,,,,,,
E02000341,Greenwich 029,E09000011,Greenwich,352,50,14.20%,10.90%,18.20%,,296,79,26.70%,22.00%,32.00%,,,,,,,,,
E02000342,Greenwich 030,E09000011,Greenwich,223,27,12.10%,8.50%,17.00%,,154,40,26.00%,19.70%,33.40%,,,,,,,,,
E02000343,Greenwich 031,E09000011,Greenwich,205,26,12.70%,8.80%,17.90%,,190,38,20.00%,14.90%,26.30%,,,,,,,,,
E02000344,Greenwich 032,E09000011,Greenwich,184,15,8.20%,5.00%,13.00%,,176,42,23.90%,18.20%,30.70%,,,,,,,,,
E02006786,Greenwich 033,E09000011,Greenwich,301,38,12.60%,9.30%,16.90%,,259,69,26.60%,21.60%,32.30%,,,,,,,,,
E02006927,Greenwich 034,E09000011,Greenwich,283,30,10.60%,7.50%,14.70%,,256,62,24.20%,19.40%,29.80%,,,,,,,,,
E02006928,Greenwich 035,E09000011,Greenwich,191,26,13.60%,9.50%,19.20%,,141,34,24.10%,17.80%,31.80%,,,,,,,,,
E02006929,Greenwich 036,E09000011,Greenwich,198,21,10.60%,7.00%,15.70%,,150,33,22.00%,16.10%,29.30%,,,,,,,,,
E02006930,Greenwich 037,E09000011,Greenwich,285,13,4.60%,2.70%,7.60%,,165,31,18.80%,13.60%,25.40%,,,,,,,,,
E02006931,Greenwich 038,E09000011,Greenwich,260,24,9.20%,6.30%,13.40%,,204,53,26.00%,20.40%,32.40%,,,,,,,,,
E02000345,Hackney 001,E09000012,Hackney,113,14,12.40%,7.50%,19.70%,,115,26,22.60%,15.90%,31.10%,,,,,,,,,
E02000346,Hackney 002,E09000012,Hackney,213,48,22.50%,17.40%,28.60%,,196,69,35.20%,28.90%,42.10%,,,,,,,,,
E02000347,Hackney 003,E09000012,Hackney,145,21,14.50%,9.70%,21.10%,,102,23,22.50%,15.50%,31.60%,,,,,,,,,
E02000348,Hackney 004,E09000012,Hackney,233,31,13.30%,9.50%,18.30%,,166,47,28.30%,22.00%,35.60%,,,,,,,,,
E02000350,Hackney 006,E09000012,Hackney,250,22,8.80%,5.90%,13.00%,,186,38,20.40%,15.30%,26.80%,,,,,,,,,
E02000351,Hackney 007,E09000012,Hackney,182,20,11.00%,7.20%,16.40%,,147,39,26.50%,20.10%,34.20%,,,,,,,,,
E02000352,Hackney 008,E09000012,Hackney,181,15,8.30%,5.10%,13.20%,,145,33,22.80%,16.70%,30.20%,,,,,,,,,
E02000353,Hackney 009,E09000012,Hackney,259,21,8.10%,5.40%,12.10%,,188,38,20.20%,15.10%,26.50%,,,,,,,,,
E02000354,Hackney 010,E09000012,Hackney,361,40,11.10%,8.20%,14.70%,,291,75,25.80%,21.10%,31.10%,,,,,,,,,
E02000355,Hackney 011,E09000012,Hackney,284,17,6.00%,3.80%,9.40%,,206,35,17.00%,12.50%,22.70%,,,,,,,,,
E02000356,Hackney 012,E09000012,Hackney,241,18,7.50%,4.80%,11.50%,,205,24,11.70%,8.00%,16.80%,,,,,,,,,
E02000357,Hackney 013,E09000012,Hackney,313,51,16.30%,12.60%,20.80%,,278,78,28.10%,23.10%,33.60%,,,,,,,,,
E02000358,Hackney 014,E09000012,Hackney,314,41,13.10%,9.80%,17.20%,,265,73,27.50%,22.50%,33.20%,,,,,,,,,
E02000359,Hackney 015,E09000012,Hackney,256,32,12.50%,9.00%,17.10%,,217,48,22.10%,17.10%,28.10%,,,,,,,,,
E02000360,Hackney 016,E09000012,Hackney,431,62,14.40%,11.40%,18.00%,,379,108,28.50%,24.20%,33.20%,,,,,,,,,
E02000361,Hackney 017,E09000012,Hackney,210,41,19.50%,14.70%,25.40%,,165,46,27.90%,21.60%,35.20%,,,,,,,,,
E02000362,Hackney 018,E09000012,Hackney,219,36,16.40%,12.10%,21.90%,,214,65,30.40%,24.60%,36.80%,,,,,,,,,
E02000363,Hackney 019,E09000012,Hackney,603,89,14.80%,12.20%,17.80%,,485,129,26.60%,22.90%,30.70%,,,,,,,,,
E02000364,Hackney 020,E09000012,Hackney,301,32,10.60%,7.60%,14.60%,,271,54,19.90%,15.60%,25.10%,,,,,,,,,
E02000365,Hackney 021,E09000012,Hackney,214,29,13.60%,9.60%,18.80%,,185,48,25.90%,20.20%,32.70%,,,,,,,,,
E02000366,Hackney 022,E09000012,Hackney,298,48,16.10%,12.40%,20.70%,,239,64,26.80%,21.60%,32.70%,,,,,,,,,
E02000367,Hackney 023,E09000012,Hackney,334,49,14.70%,11.30%,18.90%,,242,69,28.50%,23.20%,34.50%,,,,,,,,,
E02000368,Hackney 024,E09000012,Hackney,302,31,10.30%,7.30%,14.20%,,317,83,26.20%,21.60%,31.30%,,,,,,,,,
E02000369,Hackney 025,E09000012,Hackney,399,59,14.80%,11.60%,18.60%,,290,93,32.10%,27.00%,37.60%,,,,,,,,,
E02000370,Hackney 026,E09000012,Hackney,234,30,12.80%,9.10%,17.70%,,229,55,24.00%,18.90%,29.90%,,,,,,,,,
E02000371,Hackney 027,E09000012,Hackney,289,51,17.60%,13.70%,22.50%,,238,76,31.90%,26.30%,38.10%,,,,,,,,,
E02006918,Hackney 028,E09000012,Hackney,384,57,14.80%,11.60%,18.70%,,315,80,25.40%,20.90%,30.50%,,,,,,,,,
E02006921,Hackney 029,E09000012,Hackney,249,36,14.50%,10.60%,19.40%,,203,56,27.60%,21.90%,34.10%,,,,,,,,,
E02000372,Hammersmith and Fulham 001,E09000013,Hammersmith and Fulham,328,42,12.80%,9.60%,16.90%,,293,64,21.80%,17.50%,26.90%,,,,,,,,,
E02000373,Hammersmith and Fulham 002,E09000013,Hammersmith and Fulham,318,36,11.30%,8.30%,15.30%,,280,75,26.80%,21.90%,32.30%,,,,,,,,,
E02000374,Hammersmith and Fulham 003,E09000013,Hammersmith and Fulham,188,17,9.00%,5.70%,14.00%,,156,48,30.80%,24.10%,38.40%,,,,,,,,,
E02000375,Hammersmith and Fulham 004,E09000013,Hammersmith and Fulham,200,20,10.00%,6.60%,14.90%,,150,39,26.00%,19.60%,33.60%,,,,,,,,,
E02000376,Hammersmith and Fulham 005,E09000013,Hammersmith and Fulham,159,17,10.70%,6.80%,16.50%,,156,46,29.50%,22.90%,37.10%,,,,,,,,,
E02000377,Hammersmith and Fulham 006,E09000013,Hammersmith and Fulham,191,15,7.90%,4.80%,12.60%,,169,34,20.10%,14.80%,26.80%,,,,,,,,,
E02000378,Hammersmith and Fulham 007,E09000013,Hammersmith and Fulham,132,9,6.80%,3.60%,12.50%,,99,19,19.20%,12.60%,28.00%,,,,,,,,,
E02000379,Hammersmith and Fulham 008,E09000013,Hammersmith and Fulham,203,24,11.80%,8.10%,17.00%,,148,26,17.60%,12.30%,24.50%,,,,,,,,,
E02000380,Hammersmith and Fulham 009,E09000013,Hammersmith and Fulham,181,7,3.90%,1.90%,7.80%,,107,22,20.60%,14.00%,29.20%,,,,,,,,,
E02000381,Hammersmith and Fulham 010,E09000013,Hammersmith and Fulham,167,8,4.80%,2.40%,9.20%,,94,21,22.30%,15.10%,31.80%,,,,,,,,,
E02000382,Hammersmith and Fulham 011,E09000013,Hammersmith and Fulham,188,16,8.50%,5.30%,13.40%,,130,21,16.20%,10.80%,23.40%,,,,,,,,,
