MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000041,Barnet 018,E09000003,Barnet,250,27,10.80%,7.50%,15.30%,,246,50,20.30%,15.80%,25.80%,,,,,,,,,
E02000042,Barnet 019,E09000003,Barnet,318,33,10.40%,7.50%,14.20%,,236,43,18.20%,13.80%,23.60%,,,,,,,,,
E02000043,Barnet 020,E09000003,Barnet,289,15,5.20%,3.20%,8.40%,,190,23,12.10%,8.20%,17.50%,,,,,,,,,
E02000044,Barnet 021,E09000003,Barnet,312,40,12.80%,9.60%,17.00%,,246,52,21.10%,16.50%,26.70%,,,,,,,,,
E02000045,Barnet 022,E09000003,Barnet,358,39,10.90%,8.10%,14.50%,,330,70,21.20%,17.10%,25.90%,,,,,,,,,
E02000046,Barnet 023,E09000003,Barnet,199,13,6.50%,3.90%,10.90%,,142,19,13.40%,8.70%,20.00%,,,,,,,,,
E02000047,Barnet 024,E09000003,Barnet,451,54,12.00%,9.30%,15.30%,,394,99,25.10%,21.10%,29.60%,,,,,,,,,
E02000048,Barnet 025,E09000003,Barnet,282,24,8.50%,5.80%,12.40%,,251,36,14.30%,10.50%,19.20%,,,,,,,,,
E02000049,Barnet 026,E09000003,Barnet,436,59,13.50%,10.60%,17.10%,,345,98,28.40%,23.90%,33.40%,,,,,,,,,
E02000050,Barnet 027,E09000003,Barnet,357,33,9.20%,6.70%,12.70%,,300,60,20.00%,15.90%,24.90%,,,,,,,,,
E02000051,Barnet 028,E09000003,Barnet,178,16,9.00%,5.60%,14.10%,,183,24,13.10%,9.00%,18.80%,,,,,,,,,
E02000052,Barnet 029,E09000003,Barnet,291,19,6.50%,4.20%,10.00%,,203,34,16.70%,12.20%,22.50%,,,,,,,,,
E02000053,Barnet 030,E09000003,Barnet,310,34,11.00%,8.00%,14.90%,,198,47,23.70%,18.30%,30.10%,,,,,,,,,
E02000054,Barnet 031,E09000003,Barnet,180,17,9.40%,6.00%,14.60%,,175,40,22.90%,17.30%,29.60%,,,,,,,,,
E02000055,Barnet 032,E09000003,Barnet,312,18,5.80%,3.70%,8.90%,,227,39,17.20%,12.80%,22.60%,,,,,,,,,
E02000056,Barnet 033,E09000003,Barnet,186,11,5.90%,3.30%,10.30%,,142,16,11.30%,7.10%,17.50%,,,,,,,,,
E02000057,Barnet 034,E09000003,Barnet,327,26,8.00%,5.50%,11.40%,,208,32,15.40%,11.10%,20.90%,,,,,,,,,
E02000058,Barnet 035,E09000003,Barnet,312,18,5.80%,3.70%,8.90%,,229,34,14.80%,10.80%,20.00%,,,,,,,,,
E02000059,Barnet 036,E09000003,Barnet,300,30,10.00%,7.10%,13.90%,,246,46,18.70%,14.30%,24.00%,,,,,,,,,
E02000060,Barnet 037,E09000003,Barnet,367,32,8.70%,6.20%,12.00%,,312,46,14.70%,11.20%,19.10%,,,,,,,,,
E02000061,Barnet 038,E09000003,Barnet,116,10,8.60%,4.70%,15.10%,,94,8,8.50%,4.40%,15.90%,,,,,,,,,
E02000062,Barnet 039,E09000003,Barnet,205,25,12.20%,8.40%,17.40%,,191,38,19.90%,14.90%,26.10%,,,,,,,,,
E02000063,Barnet 040,E09000003,Barnet,209,25,12.00%,8.20%,17.10%,,173,33,19.10%,13.90%,25.60%,,,,,,,,,
E02000064,Barnet 041,E09000003,Barnet,190,29,15.30%,10.80%,21.10%,,122,22,18.00%,12.20%,25.80%,,,,,,,,,
E02000065,Bexley 001,E09000004,Bexley,534,96,18.00%,15.00%,21.50%,,370,102,27.60%,23.30%,32.30%,,,,,,,,,
E02000066,Bexley 002,E09000004,Bexley,517,69,13.30%,10.70%,16.50%,,411,109,26.50%,22.50%,31.00%,,,,,,,,,
E02000067,Bexley 003,E09000004,Bexley,442,50,11.30%,8.70%,14.60%,,327,87,26.60%,22.10%,31.60%,,,,,,,,,
E02000068,Bexley 004,E09000004,Bexley,416,56,13.50%,10.50%,17.10%,,286,83,29.00%,24.10%,34.50%,,,,,,,,,
E02000069,Bexley 005,E09000004,Bexley,219,29,13.20%,9.40%,18.40%,,182,62,34.10%,27.60%,41.20%,,,,,,,,,
E02000070,Bexley 006,E09000004,Bexley,259,42,16.20%,12.20%,21.20%,,233,52,22.30%,17.40%,28.10%,,,,,,,,,
E02000071,Bexley 007,E09000004,Bexley,286,27,9.40%,6.60%,13.40%,,289,72,24.90%,20.30%,30.20%,,,,,,,,,
E02000072,Bexley 008,E09000004,Bexley,669,101,15.10%,12.60%,18.00%,,459,106,23.10%,19.50%,27.20%,,,,,,,,,
E02000073,Bexley 009,E09000004,Bexley,373,35,9.40%,6.80%,12.80%,,402,93,23.10%,19.30%,27.50%,,,,,,,,,
E02000074,Bexley 010,E09000004,Bexley,310,32,10.30%,7.40%,14.20%,,273,77,28.20%,23.20%,33.80%,,,,,,,,,
E02000075,Bexley 011,E09000004,Bexley,264,16,6.10%,3.80%,9.60%,,231,44,19.00%,14.50%,24.60%,,,,,,,,,
E02000077,Bexley 013,E09000004,Bexley,278,27,9.70%,6.80%,13.80%,,296,68,23.00%,18.50%,28.10%,,,,,,,,,
